failures,age_failure_interaction,at_risk_student,academic_commitment,higher,socioeconomic_advantage,studytime,studytime_normalized,parents_avg_edu,Medu,behavioral_risk,Fedu,Dalc,resource_access,alcohol_total,low_parent_edu,dedicated_student,alcohol_problem,balanced_student,high_parent_edu,Walc,urban_address,likely_repeated,internet,Mjob,social_vs_study,is_male,comprehensive_support,traveltime,social_score,freetime,freetime_normalized,study_failure_interaction,appropriate_age,age_normalized,age,health,absences_normalized,absences,romantic,goout,goout_normalized,edu_support_interaction,wellbeing_score,health_issues,guardian,family_stability,schoolsup,famrel,activities,famsup,paid,parent_job_prestige,Fjob,target
0,18,0,11.6,1,7.0,2,0.08358847625512733,4.0,4,1,4,1,2,2.5,0,0,0,0,1,1,1,0,0,0,1,0,7,2,7,3,-0.17151424363595297,2,0,1.0309000142314788,18,3,0.0733767679429581,4,0,4,0.6932502455671382,4.0,10.75,0,1,4,1,4,0,0,0,3.0,4,11
0,17,0,11.8,1,6.0,2,0.08358847625512733,1.0,1,0,1,1,3,2.5,1,0,0,1,0,1,1,0,1,0,0,0,7,1,6,3,-0.17151424363595297,2,1,0.2099747268250618,17,3,-0.35758723563151973,2,0,3,-0.15725903491125998,1.0,11.75,0,0,6,0,5,0,1,0,3.5,2,11
0,15,0,11.4,1,6.0,2,0.08358847625512733,1.0,1,0,1,2,3,6.5,1,0,0,0,0,3,1,0,1,0,0,0,8,1,5,3,-0.17151424363595297,2,1,-1.431875847987772,15,3,0.504340771517436,6,0,2,-1.0077683153896582,1.0,8.75,0,1,6,1,4,0,0,0,3.5,2,12
0,15,0,14.0,1,8.0,3,1.2891200560235179,3.0,4,1,2,1,3,2.5,0,1,0,1,0,1,1,0,1,1,0,0,7,1,4,2,-1.1229052190182915,3,1,-1.431875847987772,15,5,-0.7885512392059976,0,1,2,-1.0077683153896582,3.0,11.75,0,1,4,0,3,1,1,0,2.5,3,14
0,16,0,12.0,1,6.0,2,0.08358847625512733,3.0,3,0,3,1,2,4.0,0,0,0,1,1,2,1,0,0,2,0,0,8,1,5,3,-0.17151424363595297,2,1,-0.6109505605813551,16,5,-0.7885512392059976,0,0,2,-1.0077683153896582,3.0,12.0,0,0,5,0,4,0,1,0,3.0,2,13
0,16,0,11.4,1,8.5,2,0.08358847625512733,3.5,4,0,3,1,3,4.0,0,0,0,1,1,2,1,0,1,3,0,1,11,1,6,4,0.7798767317463855,2,1,-0.6109505605813551,16,5,0.504340771517436,6,0,2,-1.0077683153896582,3.5,13.0,0,1,7,0,5,1,1,0,2.0,2,13
0,16,0,12.0,1,7.0,2,0.08358847625512733,2.0,2,1,2,1,3,2.5,1,0,0,0,0,1,1,0,1,2,1,1,7,1,8,4,0.7798767317463855,2,1,-0.6109505605813551,16,3,-0.7885512392059976,0,0,4,0.6932502455671382,0.0,10.75,0,1,6,0,4,0,0,0,3.0,2,13
0,17,0,11.8,1,7.0,2,0.08358847625512733,4.0,4,1,4,1,2,2.5,0,0,0,0,1,1,1,0,0,2,1,0,8,2,5,1,-2.0742961944006297,2,1,0.2099747268250618,17,1,-0.35758723563151973,2,0,4,0.6932502455671382,8.0,8.75,1,1,4,1,4,0,1,0,2.5,4,13
0,15,0,12.0,1,7.5,2,0.08358847625512733,2.5,3,0,2,1,3,2.5,0,0,0,1,0,1,1,0,1,3,0,1,7,1,4,2,-1.1229052190182915,2,1,-1.431875847987772,15,1,-0.7885512392059976,0,0,2,-1.0077683153896582,2.5,8.75,1,1,5,0,4,0,1,0,2.0,2,17
0,15,0,12.0,1,8.5,2,0.08358847625512733,3.5,3,0,4,1,3,2.5,0,0,0,1,1,1,1,0,1,2,0,1,10,1,6,5,1.731267707128724,2,1,-1.431875847987772,15,5,-0.7885512392059976,0,0,1,-1.8582775958680562,3.5,13.75,0,1,6,0,5,1,1,0,3.0,2,13
0,15,0,11.8,1,9.0,2,0.08358847625512733,4.0,4,0,4,1,3,4.0,0,0,0,1,1,2,1,0,1,4,0,0,7,1,6,3,-0.17151424363595297,2,1,-1.431875847987772,15,2,-0.35758723563151973,2,0,3,-0.15725903491125998,4.0,8.0,1,1,4,0,3,0,1,0,3.0,1,14
0,15,0,14.0,1,5.5,3,1.2891200560235179,1.5,2,0,1,1,2,2.5,1,1,0,1,0,1,1,0,1,3,0,0,9,3,4,2,-1.1229052190182915,3,1,-1.431875847987772,15,4,-0.7885512392059976,0,0,2,-1.0077683153896582,1.5,12.75,0,0,6,0,5,1,1,0,2.0,2,13
0,15,1,10.0,1,9.0,1,-1.1219431035132632,4.0,4,0,4,1,3,5.5,0,0,0,0,1,3,1,0,1,1,0,1,10,1,6,3,-0.17151424363595297,1,1,-1.431875847987772,15,5,-0.7885512392059976,0,0,3,-0.15725903491125998,4.0,11.25,0,0,6,0,4,1,1,0,2.5,3,12
0,15,0,12.0,1,8.5,2,0.08358847625512733,3.5,4,0,3,1,3,4.0,0,0,0,1,1,2,1,0,1,4,0,1,9,2,7,4,0.7798767317463855,2,1,-1.431875847987772,15,3,-0.7885512392059976,0,0,3,-0.15725903491125998,3.5,11.0,0,1,6,0,5,0,1,0,2.5,2,13
0,15,0,14.0,1,7.0,3,1.2891200560235179,2.0,2,1,2,1,3,2.5,1,1,0,1,0,1,1,0,1,2,0,1,6,1,7,5,1.731267707128724,3,1,-1.431875847987772,15,3,-0.7885512392059976,0,1,2,-1.0077683153896582,2.0,10.75,0,2,4,0,4,0,1,0,3.0,2,15
0,16,1,9.4,1,9.0,1,-1.1219431035132632,4.0,4,1,4,1,3,4.0,0,0,0,0,1,2,1,0,1,1,1,0,8,1,8,4,0.7798767317463855,1,1,-0.6109505605813551,16,2,0.504340771517436,6,0,4,0.6932502455671382,4.0,9.0,1,1,5,0,4,0,1,0,3.5,2,17
0,16,1,13.0,1,9.0,3,1.2891200560235179,4.0,4,1,4,1,3,4.0,0,0,0,1,1,2,1,0,1,3,0,0,8,1,5,2,-1.1229052190182915,3,1,-0.6109505605813551,16,2,1.3662687786663916,10,0,3,-0.15725903491125998,4.0,8.0,1,1,4,0,3,1,1,0,1.0,3,14
0,16,0,11.8,1,5.0,2,0.08358847625512733,3.0,3,0,3,1,1,2.5,0,0,0,1,1,1,1,0,0,2,0,0,11,3,5,3,-0.17151424363595297,2,1,-0.6109505605813551,16,4,-0.35758723563151973,2,0,2,-1.0077683153896582,6.0,12.75,0,1,6,1,5,1,1,0,3.0,2,14
3,68,1,9.8,1,7.5,1,-1.1219431035132632,2.5,3,3,2,2,3,8.0,0,0,1,0,0,4,1,0,1,3,1,1,10,1,10,5,1.731267707128724,4,1,0.2099747268250618,17,5,-0.35758723563151973,2,0,5,1.5437595260455363,2.5,11.0,0,1,6,0,5,1,1,1,1.0,3,7
0,16,1,9.4,1,8.5,1,-1.1219431035132632,3.5,4,0,3,1,3,5.5,0,0,0,0,1,3,1,0,1,1,0,1,8,1,4,1,-2.0742961944006297,1,1,-0.6109505605813551,16,5,0.504340771517436,6,0,3,-0.15725903491125998,0.0,10.25,0,0,5,0,3,1,0,0,3.5,2,12
0,15,0,12.0,1,8.5,2,0.08358847625512733,3.5,4,0,3,1,3,2.5,0,0,0,1,1,1,1,0,1,4,0,1,7,1,5,4,0.7798767317463855,2,1,-1.431875847987772,15,1,-0.7885512392059976,0,0,1,-1.8582775958680562,0.0,8.75,1,1,5,0,4,0,0,0,2.5,2,14
0,15,1,10.0,1,9.0,1,-1.1219431035132632,4.0,4,0,4,1,3,2.5,0,0,0,0,1,1,1,0,1,1,0,1,10,1,6,4,0.7798767317463855,1,1,-1.431875847987772,15,5,-0.7885512392059976,0,0,2,-1.0077683153896582,4.0,13.75,0,0,6,0,5,0,1,1,4.0,1,12
0,16,0,12.0,1,8.0,2,0.08358847625512733,3.0,4,0,2,1,3,5.5,0,0,0,0,0,3,1,0,1,4,0,1,8,1,6,5,1.731267707128724,2,1,-0.6109505605813551,16,5,-0.7885512392059976,0,0,1,-1.8582775958680562,0.0,11.25,0,1,6,0,4,1,0,0,2.5,2,14
0,16,0,11.8,1,7.0,2,0.08358847625512733,2.0,2,3,2,2,3,8.0,1,0,1,0,0,4,1,0,1,2,1,1,10,2,8,4,0.7798767317463855,2,1,-0.6109505605813551,16,5,-0.35758723563151973,2,0,4,0.6932502455671382,2.0,11.0,0,1,7,0,5,1,1,0,3.0,2,10
0,15,0,13.8,1,6.0,3,1.2891200560235179,3.0,2,0,4,1,2,2.5,0,1,0,1,0,1,0,0,1,3,0,0,9,1,5,3,-0.17151424363595297,3,1,-1.431875847987772,15,5,-0.35758723563151973,2,0,2,-1.0077683153896582,6.0,12.75,0,1,5,1,4,1,1,0,2.5,1,10
0,16,1,9.4,1,7.0,1,-1.1219431035132632,2.0,2,0,2,1,3,5.5,1,0,0,0,0,3,1,0,1,3,0,0,3,1,4,2,-1.1229052190182915,1,1,-0.6109505605813551,16,5,0.504340771517436,6,0,2,-1.0077683153896582,2.0,8.25,0,1,2,0,1,0,1,0,1.0,3,12
0,15,1,9.2,1,7.0,1,-1.1219431035132632,2.0,2,1,2,1,3,4.0,1,0,0,0,0,2,1,0,1,2,0,1,7,1,4,2,-1.1229052190182915,1,1,-1.431875847987772,15,5,0.9353047750919139,8,0,2,-1.0077683153896582,2.0,12.0,0,1,5,0,4,0,1,0,3.0,2,12
0,15,1,10.0,1,8.0,1,-1.1219431035132632,3.0,4,3,2,2,3,8.0,0,0,1,0,0,4,1,0,1,1,1,1,4,1,6,2,-1.1229052190182915,1,1,-1.431875847987772,15,1,-0.7885512392059976,0,0,4,0.6932502455671382,0.0,4.0,1,1,3,0,2,0,0,0,2.5,3,11
0,16,0,11.8,1,8.5,2,0.08358847625512733,3.5,3,0,4,1,3,2.5,0,0,0,1,1,1,1,0,1,3,0,1,12,1,6,3,-0.17151424363595297,2,1,-0.6109505605813551,16,5,-0.35758723563151973,2,0,3,-0.15725903491125998,7.0,13.75,0,1,6,1,5,1,1,1,2.0,2,13
0,16,0,11.6,1,9.0,2,0.08358847625512733,4.0,4,4,4,5,3,12.5,0,0,1,0,1,5,1,0,1,4,1,1,10,1,9,4,0.7798767317463855,2,1,-0.6109505605813551,16,5,0.0733767679429581,4,1,5,1.5437595260455363,4.0,7.75,0,1,5,0,4,1,1,1,2.0,4,12
0,15,0,12.0,1,9.0,2,0.08358847625512733,4.0,4,2,4,3,3,9.0,0,0,1,0,1,4,1,0,1,1,0,1,9,1,6,4,0.7798767317463855,2,1,-1.431875847987772,15,5,-0.7885512392059976,0,0,2,-1.0077683153896582,4.0,10.5,0,1,6,0,5,0,1,1,2.5,3,11
0,15,0,11.8,1,9.0,2,0.08358847625512733,4.0,4,0,4,1,3,2.5,0,0,0,1,1,1,1,0,1,3,0,1,9,2,4,3,-0.17151424363595297,2,1,-1.431875847987772,15,5,-0.35758723563151973,2,0,1,-1.8582775958680562,4.0,12.75,0,1,5,0,4,1,1,0,1.0,3,15
0,15,0,12.0,1,6.5,2,0.08358847625512733,3.5,4,1,3,1,2,2.5,0,0,0,1,1,1,0,0,1,4,0,1,9,1,7,5,1.731267707128724,2,1,-1.431875847987772,15,5,-0.7885512392059976,0,1,2,-1.0077683153896582,3.5,12.75,0,1,5,0,4,1,1,0,3.0,0,15
0,15,0,12.0,1,8.0,2,0.08358847625512733,3.0,3,0,3,1,3,2.5,0,0,0,1,1,1,1,0,1,2,0,1,9,1,5,3,-0.17151424363595297,2,1,-1.431875847987772,15,2,-0.7885512392059976,0,0,2,-1.0077683153896582,0.0,10.75,1,1,7,0,5,1,0,0,3.0,2,12
0,16,1,9.6,1,7.5,1,-1.1219431035132632,2.5,3,0,2,1,3,2.5,0,0,0,0,0,1,1,0,1,2,0,1,7,1,7,4,0.7798767317463855,1,1,-0.6109505605813551,16,5,0.0733767679429581,4,0,3,-0.15725903491125998,2.5,13.75,0,1,6,0,5,0,1,0,3.0,2,12
0,15,1,9.6,1,5.5,1,-1.1219431035132632,2.5,2,0,3,1,2,2.5,0,0,0,0,0,1,1,0,0,2,0,0,7,2,6,5,1.731267707128724,1,1,-1.431875847987772,15,5,0.0733767679429581,4,0,1,-1.8582775958680562,2.5,11.75,0,0,4,0,3,1,1,0,3.0,2,11
